A	Alay
ÖYS	Öğrenci Yerleştirme Sınavı 
öz.	Özel
ÖZİ	Özürlüler İdaresi Başkanlığı
ÖZÜ	Özyeğin Üniversitesi
PAÜ	Pamukkale Üniversitesi
ped.	Pedagoji
PEN	UYB 
PETKİM	Petrokimya Endüstrisi Genel Müdürlüğü
PİEAÜÖ	Petrol İhraç Eden Arap Ülkeleri Örgütü
PİEÜT	Petrol İhraç Eden Ülkeler Teşkilatı
PİGM	Petrol İşleri Genel Müdürlüğü
PK	Posta kutusu
PO	Petrol Of isi
POAŞ	Petrol Of isi Anonim Şirketi
Port.	Portekizce
Prof.	Profesör
psikol.	Psikoloji
PTT	Posta ve Telgraf Teşkilatı Genel Müdürlüğü
RAM	Bilgisayarda okunabilir ve yazılabilir bellek 
RC	Kızılhaç 
RCD	KİBİB 
RK	Rekabet Kurumu
RNA	Ribo nükleik asit
ROM	Bilgisayarda yalnızca okunabilir bellek 
Ro-Ro	Gemiye taşıt indirme bindirme 
RSHM	Ref ik Saydam Hıfzıssıhha Merkezi Başkanlığı
RTÜK	Radyo ve Televizyon Üst Kurulu
Rum.	Rumca
Rus.	Rusça
RÜ	Rize Üniversitesi
S	Sayı
s.	Sayfa
sa.	Saat
SAS	Su Altı Savunma 
SAT	Su Altı Taarruz 
SATEM	Savunma Sanayii ve Teknoloji Eğitim Merkezi
SAÜ	Sakarya Üniversitesi
Sb.	Subay
SB	Sağlık Bakanlığı
SBF	Siyasal Bilgiler Fakültesi
SBS	Seviye Belirleme Sınavı
SDIF	TMSF 
SDÜ	Süleyman Demirel Üniversitesi
SEFD Bşk.	Millî Savunma Bakanlığı Seferberlik Dairesi Başkanlığı
SEK	Süt Endüstrisi Kurumu Sanayi ve Ticaret Anonim Şirketi
SEKA	Selüloz ve Kâğıt Sanayii Kurumu 
sf.	Sıfat
SG	Sahil Güvenlik
SGK	Sosyal Güvenlik Kurumu
SGM	Sanayi ve Ticaret Bakanlığı Sanayi Genel Müdürlüğü
SHÇEK	Sosyal Hizmetler ve Çocuk Esirgeme Kurumu
SHGM	Sivil Havacılık Genel Müdürlüğü
SHÖ	Sivil Havacılık Örgütü
SİÜ	Siirt Üniversitesi
SKT	Son kullanma tarihi
Sl.	Slavca
SMWK	KEİ 
Sn.	Sayın
sn.	Saniye
snt.	Santral
SNÜ	Sinop Üniversitesi
Sok.	Sokak
SOS	Uluslararası yardım isteme uyarısı 
sos.	Sosyoloji
sp.	Spor
SPA	SUGES 
SPK	Sermaye Piyasası Kurulu
Srp.	Sırpça
SSCB	Sovyet Sosyalist Cumhuriyetleri Birliği
SSDB	Sağlık Bakanlığı Sıtma Savaş Dairesi Başkanlığı
SSK	Sosyal Sigortalar Kurumu
SSM	Savunma Sanayi Müsteşarlığı
STB	Sanayi ve Ticaret Bakanlığı
STK	Sivil Toplum Kuruluşu
STÖ	Sivil Toplum Örgütü
SUGES	Sudan gelen sağlık
SÜ	Sabancı Üniversitesi
SWIFT	DBAFİT 
SYD	Sayısal yoğun disk
SYDGM	Sosyal Yardımlaşma ve Dayanışma Genel Müdürlüğü
Ş	Şirket
Şb.	Şube
ŞEHİR	İstanbul Şehir Üniversitesi
ŞÜ	Şırnak Üniversitesi
t	Ton
T.	Türkçe
T.C.	Türkiye Cumhuriyeti
TAA	Türkiye Adalet Akademisi
TAEK	Türkiye Atom Enerjisi Kurumu
TAGEM	Tarımsal Araştırmalar Genel Müdürlüğü
TAI	THS 
TAPDK	Tütün ve Alkol Piyasası Düzenleme Kurulu
tar.	Tarih
TARİŞ	Tarım Satış Kooperatif leri Birliği
TASS	Sovyetler Birliği Telgraf Ajansı 
TAŞ	Türk Anonim Şirketi
TAU	Teknik Araştırma ve Uygulama Genel Müdürlüğü
Tb.	Tabur
TBB	Türkiye Bankalar Birliği
TBMM	Türkiye Büyük Millet Meclisi
TCDD	Türkiye Cumhuriyeti Devlet Demiryolları
TCK	Türkiye Cumhuriyeti Karayolları
TCMB	Türkiye Cumhuriyet Merkez Bankası
TCZB	Türkiye Cumhuriyeti Ziraat Bankası
TDÇİ	Türkiye Demir Çelik İşletmeleri
TDİ	Türkiye Denizcilik İşletmeleri
TDK	Türk Dil Kurumu
TEAE	Tarımsal Ekonomi Araştırma Enstitüsü
TEAŞ	Türkiye Elektrik Üretim Anonim Şirketi
TEDAŞ	Türkiye Elektrik Dağıtım Anonim Şirketi
TEDGEM	Teşkilatlanma ve Destekleme Genel Müdürlüğü
TEFE	Toptan eşya f iyatları endeksi
TEİAŞ	Türkiye Elektrik İletim Anonim Şirketi
TEK	Türkiye Elektrik Kurumu
tek.	Teknik, teknoloji
tel.	Telefon
telg.	Telgraf
TEM	Avrupa Transit Kara Yolu 
TEMSAN	Türkiye Elektromekanik Sanayii
TETAŞ	Türkiye Elektrik, Ticaret ve Taahhüt Anonim Şirketi
TFF	Türkiye Futbol Federasyonu Başkanlığı
TGC	Türkiye Gazeteciler Cemiyeti
TGM	Kültür ve Turizm Bakanlığı Tanıtma Genel Müdürlüğü
TGS	Türkiye Gazeteciler Sendikası
Tğm.	Teğmen
THA	Türk Haberler Ajansı
THK	Türk Hava Kurumu
THS	Türk Havacılık Sanayii
THSGM	Telif Hakları ve Sinema Genel Müdürlüğü
THY	Türk Hava Yolları
TIR	Uluslararası Kara Yolu Taşımacılığı 
tic.	Ticaret
TİGEM	Tarım İşletmeleri Genel Müdürlüğü
TİKA	Türk İş Birliği ve Koordinasyon Ajansı Başkanlığı
TİM	Türkiye İhracatçılar Merkezi
TİSK	Türkiye İşverenler Sendikası Konfederasyonu 
tiy.	Tiyatro
TK	BTK 
TKAE	Türk Kültürünü Araştırma Enstitüsü
TKB	Türkiye Kalkınma Bankası
TKGM	Tapu ve Kadastro Genel Müdürlüğü
TKİ	Türkiye Kömür İşletmeleri
TL	Türk lirası
tlks.	Teleks
tls.	Telsiz
TM	Türk malı
TMMOB	Türk Mühendis ve Mimar Odaları Birliği
TMO	Toprak Mahsulleri Of isi
TMSF	Tasarruf Mevduatı Sigorta Fonu
TMSK	Türkiye Muhasebe Standartları Kurulu
TNCÜ	Tunceli Üniversitesi
TOBB	Türkiye Odalar ve Borsalar Birliği
TOBB	ETÜ TOBB Ekonomi ve Teknoloji Üniversitesi
TODAİE	Türkiye ve Orta Doğu Amme İdaresi Enstitüsü
TOEFL	Yabancı dil olarak İngilizce testi 
TOKİ	Toplu Konut İdaresi Başkanlığı
Top.	Topçu
TÖMER	Türkçe Öğretim Merkezi
TP	Türk Petrolleri
TPAO	Türkiye Petrolleri Anonim Ortaklığı
TPE	Türk Patent Enstitüsü
TR	Türkiye
TRGM	Tarım Reformu Genel Müdürlüğü
TRKGM	Tüketicinin ve Rekabetin Korunması Genel Müdürlüğü
TRS	Toros Üniversitesi
TRT	Türkiye Radyo ve Televizyon Kurumu
TSE	Türk Standartları Enstitüsü
TSİ	Türkiye saati ile
TSK	Türk Silahlı Kuvvetleri
TSKB	Türkiye Sınai Kalkınma Bankası
TT	Türkiye Türkçesi
TTB	Türk Tabipleri Birliği
TTK	Türk Tarih Kurumu
TTKB	Talim ve Terbiye Kurulu Başkanlığı
TTOK	Türkiye Turing ve Otomobil Kurumu
TUBİM	Türkiye Uyuşturucu ve Uyuşturucu Bağımlılığını İzleme Merkezi
Tug.	Tugay
Tuğa.	Tuğamiral
Tuğg.	Tuğgeneral 
TURKSTAT	TÜİK 
TUS	Tıpta Uzmanlık Eğitimi Giriş Sınavı
TÜ	Trakya Üniversitesi
TÜBA	Türkiye Bilimler Akademisi
TÜBİTAK	Türkiye Bilimsel ve Teknolojik Araştırma Kurumu
TÜDEMSAŞ	Türkiye Demiryolu Makineleri Sanayii Anonim Şirketi
TÜFE	Tüketici f iyatları endeksi
TÜGEM	Tarımsal Üretim ve Geliştirme Genel Müdürlüğü
TÜİK	Türkiye İstatistik Kurumu
TÜLOMSAŞ	Türkiye Lokomotif ve Motor Sanayii Anonim Şirketi
Tüm.	Tümen
Tüma.	Tümamiral
Tümg.	Tümgeneral
TÜPRAŞ	Türkiye Petrol Raf inerileri Anonim Şirketi
TÜRDOK	Türkiye Dokümantasyon Merkezi
TÜRKAK	Türk Akreditasyon Kurumu
TÜRKİYE	KOOP Türkiye Millî Kooperatif ler Birliği
TÜRKKOOP	Türkiye Tarım Kredi Kooperatif leri Merkez Birliği
TÜRKSAT	Türksat Uydu Haberleşme Kablo TV ve İşletme Anonim Şirketi
TÜRKŞEKER	Türkiye Şeker Fabrikaları Anonim Şirketi
TÜRSAB	Türkiye Seyahat Acenteleri Birliği
TÜTAV	Türk Tanıtma Vakfı
TÜVASAŞ	Türkiye Vagon Sanayii Anonim Şirketi
TV	Televizyon
TYDTA	Türkiye Yatırım Destek ve Tanıtım Ajansı Başkanlığı
TZDK	Türkiye Zirai Donatım Kurumu
TZOB	Türkiye Ziraat Odaları Birliği
UA	Avrupa Birliği Eğitim ve Gençlik Programları Merkezi Başkanlığı
UAAF	Uluslararası Amatör Atletizm Federasyonu
UAD	Uluslararası Adalet Divanı
UAEA	Uluslararası Atom Enerjisi Ajansı
UAGF	Uluslararası Amatör Güreş Federasyonu
UAT	Uluslararası Af Teşkilatı
UBAK	Ulaştırma Bakanlığı
UBAM	Ulusal Bilimsel Araştırma Merkezi
UBB	Uluslararası Basın Birliği
UBE	Uluslararası Basın Enstitüsü
UBF	Uluslararası Basketbol Federasyonu
UBOK	Uluslararası Bilimsel Organizasyon Konseyi
UÇÖ	Uluslararası Çalışma Örgütü
UDÖ	Uluslararası Denizcilik Örgütü
UE	AB 
UEA	Uluslararası Enerji Ajansı
UEFA	AFFB 
UEİBB	Uluslararası Ekonomik İş Birliği Bankası
UETHF	Uluslararası Ekolojik Tarım Hareketleri Federasyonu
UFF	Uluslararası Futbol Federasyonu
UFK	Uluslararası Finansman Kurumu
UFO	Tanımlanmamış Uçan Nesne 
UHF	Ultra yüksek frekans 
UHİK	Uluslararası Hilal İslam Komitesi
UHTB	Uluslararası Hava Taşımacılığı Birliği
UİİBÖ	Uluslararası İktisadi İş Birliği Örgütü
UİKB	Uluslararası İmar ve Kalkınma Bankası
UKA	Uluslararası Kalkınma Ajansı
UKK	Uluslararası Kızılhaç Komitesi
UMT	Uluslararası Mülteci Teşkilatı
UN	BM 
UNAC	BMÇYT 
UNCTAD	BMTKK 
UNCTC	UŞM 
UNESCO	BMEBKT 
UNHCR	MYK
UNICEF	Birleşmiş Milletler Uluslararası Çocuklara Yardım Fonu 
UNIDO	BMSKÖ 
UNO	BMT 
UNRRA	BMYRİ 
UOK	Uluslararası Olimpiyat Komitesi
UÖB	Uluslararası Ödemeler Bankası
UPB	Uluslararası Posta Birliği
UPF	Uluslararası Para Fonu
UPI	UBB 
UPU	UPB 
USAŞ	Uçak Sanayi Anonim Şirketi
USF	Uluslararası Satranç Federasyonu
USHÖ	Uluslararası Sivil Havacılık Örgütü
USÖ	Uluslararası Standartlar Örgütü
UŞM	Ulusötesi Şirketler Merkezi
UTKF	Uluslararası Tarımsal Kalkınma Fonu
UTM	Uluslararası Ticaret Merkezi
UTO	Uluslararası Ticaret Odası
UÜ	Ufuk Üniversitesi
UYAÇM	Uluslararası Yatırım Anlaşmazlıkları Çözüm Merkezi
UYB	Uluslararası Yazarlar Birliği
Uzm.	Uzman
Ü	Üniversite 
ÜAK	Üniversitelerarası Kurul Başkanlığı
Üçvş.	Üstçavuş
ÜDS	Üniversitelerarası Kurul Yabancı Dil Sınavı
ÜFE	Üretici f iyatları endeksi
ünl.	Ünlem
ÜT	Üretim tarihi
Ütğm.	Üsteğmen
vb.	Ve başkası, ve başkaları, ve benzeri, ve benzerleri, ve bunun gibi
VCD	GYD 
vd.	Ve devamı, ve diğerleri
VDMK	Varlığa Dayalı Menkul Kıymetler
Vet.	Veteriner
VGM	Vakıf lar Genel Müdürlüğü
VHF	Çok yüksek frekans 
VIP	Çok önemli kişi 
vs.	Vesaire
w	Elektrik güç birimi 
WACH	BATO 
WADB	BAKB 
WAP	KED 
WCO	DGÖ 
WFC	DGK 
WHO	DSÖ 
WIPO	DFMHÖ 
WTO	DTÖ 
Y.Mim.	Yüksek mimar
Y.Müh.	Yüksek mühendis
Yay.	Yayını, yayınları
Yb.	Yarbay
YD	Yoğun disk
Yd.Sb.	Yedek subay
YDK	Yüksek Denetleme Kurulu
YDS	Yabancı Dil Sınavı
YEÖGM	Yurt Dışı Eğitim Öğretim Genel Müdürlüğü
YİBF	Yardım ve İş Birliği Fonu
YİGM	Bayındırlık ve İskân Bakanlığı Yapı İşleri Genel Müdürlüğü
İşletmeler	Genel Müdürlüğü
YKr	Yeni kuruş
YÖGM	Millî Eğitim Bakanlığı Yükseköğretim Genel Müdürlüğü
YÖK	Yükseköğretim Kurulu
YÖS	Yabancı Uyruklu Öğrenci Sınavı
Yrd. Doç.	Yardımcı Doçent
YSE	Yol, Su, Elektrik Genel Müdürlüğü
YSK	Yüksek Seçim Kurulu
YTL	Yeni Türk lirası 
YTÜ	Yeditepe Üniversitesi
Yun.	Yunanca
YURTKUR	Yükseköğrenim Kredi ve Yurtlar Kurumu
YÜ	Yalova Üniversitesi
yy.	Yüzyıl
YYÜ	Van Yüzüncü Yıl Üniversitesi
Yzb.	Yüzbaşı
zf.	Zarf
ZKÜ	Zonguldak Karaelmas Üniversitesi
zm.	Zamir
ZMO	Ziraat Mühendisleri Odası
zool.	Zooloji
